;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 05/08/2020 17:22:50
;----------------------------------------------

;Address Opcode 	ASM
0x0E98	0x217B      	ADDWFC      __Lib_MmcFat16_fat_offset+1, 0, 1
0x0E9A	0x6E01      	MOVWF       R1 
0x0E9C	0x0E6D      	MOVLW       __Lib_MmcFat16_data_
0x0E9E	0x2400      	ADDWF       R0, 0 
0x0EA0	0x6EE9      	MOVWF       FSR0L 
0x0EA2	0x0E00      	MOVLW       hi_addr(__Lib_MmcFat16_data_)
0x0EA4	0x2001      	ADDWFC      R1, 0 
0x0EA6	0x6EEA      	MOVWF       FSR0H 
0x0EA8	0xF2D2CFEE  	MOVFF       POSTINC0, __Lib_MmcFat16_Reset_Fat_Chain_next_cluster_L0+1
;__Lib_MmcFat16.c,219 :: 		
0x0EAC	0xFFE1C002  	MOVFF       R2, FSR1L
0x0EB0	0xFFE2C003  	MOVFF       R3, FSR1H
0x0EB4	0x6AE6      	CLRF        POSTINC1 
;__Lib_MmcFat16.c,220 :: 		
0x0EB6	0x0E01      	MOVLW       1
0x0EB8	0x257A      	ADDWF       __Lib_MmcFat16_fat_offset, 0, 1
0x0EBA	0x6E00      	MOVWF       R0 
0x0EBC	0x0E00      	MOVLW       0
0x0EBE	0x217B      	ADDWFC      __Lib_MmcFat16_fat_offset+1, 0, 1
0x0EC0	0x6E01      	MOVWF       R1 
0x0EC2	0x0E6D      	MOVLW       __Lib_MmcFat16_data_
0x0EC4	0x2400      	ADDWF       R0, 0 
0x0EC6	0x6EE1      	MOVWF       FSR1L 
0x0EC8	0x0E00      	MOVLW       hi_addr(__Lib_MmcFat16_data_)
0x0ECA	0x2001      	ADDWFC      R1, 0 
0x0ECC	0x6EE2      	MOVWF       FSR1H 
0x0ECE	0x6AE6      	CLRF        POSTINC1 
;__Lib_MmcFat16.c,221 :: 		
0x0ED0	0x517C      	MOVF        __Lib_MmcFat16_fat_sector_pnt, 0, 1
0x0ED2	0x25A2      	ADDWF       __Lib_MmcFat16_FAT_START_SECTOR, 0, 1
0x0ED4	0x6FD6      	MOVWF       FARG_Mmc_Write_Sector_sector, 1
0x0ED6	0x517D      	MOVF        __Lib_MmcFat16_fat_sector_pnt+1, 0, 1
0x0ED8	0x21A3      	ADDWFC      __Lib_MmcFat16_FAT_START_SECTOR+1, 0, 1
0x0EDA	0x6FD7      	MOVWF       FARG_Mmc_Write_Sector_sector+1, 1
0x0EDC	0x0E00      	MOVLW       0
0x0EDE	0x21A4      	ADDWFC      __Lib_MmcFat16_FAT_START_SECTOR+2, 0, 1
0x0EE0	0x6FD8      	MOVWF       FARG_Mmc_Write_Sector_sector+2, 1
0x0EE2	0x0E00      	MOVLW       0
0x0EE4	0x21A5      	ADDWFC      __Lib_MmcFat16_FAT_START_SECTOR+3, 0, 1
0x0EE6	0x6FD9      	MOVWF       FARG_Mmc_Write_Sector_sector+3, 1
0x0EE8	0x0E6D      	MOVLW       __Lib_MmcFat16_data_
0x0EEA	0x6FDA      	MOVWF       FARG_Mmc_Write_Sector_dbuff, 1
0x0EEC	0x0E00      	MOVLW       hi_addr(__Lib_MmcFat16_data_)
0x0EEE	0x6FDB      	MOVWF       FARG_Mmc_Write_Sector_dbuff+1, 1
0x0EF0	0xF001EC5C  	CALL        _Mmc_Write_Sector, 0
;__Lib_MmcFat16.c,222 :: 		
0x0EF4	0x0102      	MOVLB       2
0x0EF6	0x517C      	MOVF        __Lib_MmcFat16_fat_sector_pnt, 0, 1
0x0EF8	0x259A      	ADDWF       __Lib_MmcFat16_FAT2_START_SECTOR, 0, 1
0x0EFA	0x6FD6      	MOVWF       FARG_Mmc_Write_Sector_sector, 1
0x0EFC	0x517D      	MOVF        __Lib_MmcFat16_fat_sector_pnt+1, 0, 1
0x0EFE	0x219B      	ADDWFC      __Lib_MmcFat16_FAT2_START_SECTOR+1, 0, 1
0x0F00	0x6FD7      	MOVWF       FARG_Mmc_Write_Sector_sector+1, 1
0x0F02	0x0E00      	MOVLW       0
0x0F04	0x219C      	ADDWFC      __Lib_MmcFat16_FAT2_START_SECTOR+2, 0, 1
0x0F06	0x6FD8      	MOVWF       FARG_Mmc_Write_Sector_sector+2, 1
0x0F08	0x0E00      	MOVLW       0
0x0F0A	0x219D      	ADDWFC      __Lib_MmcFat16_FAT2_START_SECTOR+3, 0, 1
0x0F0C	0x6FD9      	MOVWF       FARG_Mmc_Write_Sector_sector+3, 1
0x0F0E	0x0E6D      	MOVLW       __Lib_MmcFat16_data_
0x0F10	0x6FDA      	MOVWF       FARG_Mmc_Write_Sector_dbuff, 1
0x0F12	0x0E00      	MOVLW       hi_addr(__Lib_MmcFat16_data_)
0x0F14	0x6FDB      	MOVWF       FARG_Mmc_Write_Sector_dbuff+1, 1
0x0F16	0xF001EC5C  	CALL        _Mmc_Write_Sector, 0
;__Lib_MmcFat16.c,223 :: 		
0x0F1A	0xD74F      	BRA         L___Lib_MmcFat16_Reset_Fat_Chain12
L___Lib_MmcFat16_Reset_Fat_Chain13:
;__Lib_MmcFat16.c,225 :: 		
0x0F1C	0xF27CC287  	MOVFF       __Lib_MmcFat16_fat_sector_pnt_prev, __Lib_MmcFat16_fat_sector_pnt
0x0F20	0xF27DC288  	MOVFF       __Lib_MmcFat16_fat_sector_pnt_prev+1, __Lib_MmcFat16_fat_sector_pnt+1
;__Lib_MmcFat16.c,226 :: 		
0x0F24	0xF27AC291  	MOVFF       __Lib_MmcFat16_fat_offset_prev, __Lib_MmcFat16_fat_offset
0x0F28	0xF27BC292  	MOVFF       __Lib_MmcFat16_fat_offset_prev+1, __Lib_MmcFat16_fat_offset+1
;__Lib_MmcFat16.c,227 :: 		
0x0F2C	0x0012      	RETURN      0
; end of __Lib_MmcFat16_Reset_Fat_Chain
__Lib_Mmc_Mmc_UnIdle:
;__Lib_Mmc.c,96 :: 		
;__Lib_Mmc.c,100 :: 		
0x0F2E	0x0102      	MOVLB       2
0x0F30	0x6BD1      	CLRF        __Lib_Mmc_Mmc_UnIdle_cnt_L0, 1
0x0F32	0x6BD2      	CLRF        __Lib_Mmc_Mmc_UnIdle_cnt_L0+1, 1
L___Lib_Mmc_Mmc_UnIdle5:
0x0F34	0x0E27      	MOVLW       39
0x0F36	0x5DD2      	SUBWF       __Lib_Mmc_Mmc_UnIdle_cnt_L0+1, 0, 1
0x0F38	0xE102      	BNZ         L___Lib_Mmc_Mmc_UnIdle60
0x0F3A	0x0E10      	MOVLW       16
0x0F3C	0x5DD1      	SUBWF       __Lib_Mmc_Mmc_UnIdle_cnt_L0, 0, 1
L___Lib_Mmc_Mmc_UnIdle60:
0x0F3E	0xB0D8      	BTFSC       STATUS, 0 
0x0F40	0xD0AA      	BRA         L___Lib_Mmc_Mmc_UnIdle6
;__Lib_Mmc.c,101 :: 		
0x0F42	0x0E00      	MOVLW       0
0x0F44	0x0A00      	XORLW       0
0x0F46	0xE102      	BNZ         L___Lib_Mmc_Mmc_UnIdle61
0x0F48	0x0E00      	MOVLW       0
0x0F4A	0x19D0      	XORWF       FARG___Lib_Mmc_Mmc_UnIdle_ctype, 0, 1
L___Lib_Mmc_Mmc_UnIdle61:
0x0F4C	0xE118      	BNZ         L___Lib_Mmc_Mmc_UnIdle8
;__Lib_Mmc.c,102 :: 		
0x0F4E	0xF000EC30  	CALL        __Lib_Mmc_Mmc_Select, 0
;__Lib_Mmc.c,104 :: 		
0x0F52	0x0E01      	MOVLW       1
0x0F54	0x6FE4      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x0F56	0x6BE5      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x0F58	0x6BE6      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x0F5A	0x6BE7      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x0F5C	0x6BE8      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x0F5E	0x0EFF      	MOVLW       255
0x0F60	0x6FE9      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x0F62	0xF000EC32  	CALL        __Lib_Mmc_Mmc_Send_Command, 0
0x0F66	0xF2D3C000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response_L0
;__Lib_Mmc.c,105 :: 		
0x0F6A	0xF000EC23  	CALL        __Lib_Mmc_Mmc_DeSelect, 0
;__Lib_Mmc.c,106 :: 		
0x0F6E	0x0102      	MOVLB       2
0x0F70	0x51D3      	MOVF        __Lib_Mmc_Mmc_UnIdle_response_L0, 0, 1
0x0F72	0x0A00      	XORLW       0
0x0F74	0xE103      	BNZ         L___Lib_Mmc_Mmc_UnIdle9
;__Lib_Mmc.c,108 :: 		
0x0F76	0x6A46      	CLRF        __Lib_Mmc_cardType 
;__Lib_Mmc.c,109 :: 		
0x0F78	0x6A00      	CLRF        R0 
0x0F7A	0x0012      	RETURN      0
;__Lib_Mmc.c,110 :: 		
L___Lib_Mmc_Mmc_UnIdle9:
;__Lib_Mmc.c,111 :: 		
0x0F7C	0xD089      	BRA         L___Lib_Mmc_Mmc_UnIdle10
L___Lib_Mmc_Mmc_UnIdle8:
;__Lib_Mmc.c,113 :: 		
0x0F7E	0xF000EC30  	CALL        __Lib_Mmc_Mmc_Select, 0
;__Lib_Mmc.c,116 :: 		
0x0F82	0x0E37      	MOVLW       55
0x0F84	0x6FE4      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x0F86	0x6BE5      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x0F88	0x6BE6      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x0F8A	0x6BE7      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x0F8C	0x6BE8      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x0F8E	0x0EFF      	MOVLW       255
0x0F90	0x6FE9      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x0F92	0xF000EC32  	CALL        __Lib_Mmc_Mmc_Send_Command, 0
0x0F96	0xF2D3C000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response_L0
;__Lib_Mmc.c,117 :: 		
0x0F9A	0xF000EC23  	CALL        __Lib_Mmc_Mmc_DeSelect, 0
;__Lib_Mmc.c,118 :: 		
0x0F9E	0x0102      	MOVLB       2
0x0FA0	0x51D3      	MOVF        __Lib_Mmc_Mmc_UnIdle_response_L0, 0, 1
0x0FA2	0x0A01      	XORLW       1
0x0FA4	0xA4D8      	BTFSS       STATUS, 2 
0x0FA6	0xD073      	BRA         L___Lib_Mmc_Mmc_UnIdle11
;__Lib_Mmc.c,120 :: 		
0x0FA8	0xF000EC30  	CALL        __Lib_Mmc_Mmc_Select, 0
;__Lib_Mmc.c,122 :: 		
0x0FAC	0x0E29      	MOVLW       41
0x0FAE	0x6FE4      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x0FB0	0x0E00      	MOVLW       0
0x0FB2	0x6FE5      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x0FB4	0x0E00      	MOVLW       0
0x0FB6	0x6FE6      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x0FB8	0x0E00      	MOVLW       0
0x0FBA	0x6FE7      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x0FBC	0x0E40      	MOVLW       64
0x0FBE	0x6FE8      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x0FC0	0x0EFF      	MOVLW       255
0x0FC2	0x6FE9      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x0FC4	0xF000EC32  	CALL        __Lib_Mmc_Mmc_Send_Command, 0
0x0FC8	0xF2D3C000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response_L0
;__Lib_Mmc.c,123 :: 		
0x0FCC	0xF000EC23  	CALL        __Lib_Mmc_Mmc_DeSelect, 0
;__Lib_Mmc.c,124 :: 		
0x0FD0	0x0102      	MOVLB       2
0x0FD2	0x51D3      	MOVF        __Lib_Mmc_Mmc_UnIdle_response_L0, 0, 1
0x0FD4	0x0A00      	XORLW       0
0x0FD6	0xE15A      	BNZ         L___Lib_Mmc_Mmc_UnIdle12
;__Lib_Mmc.c,125 :: 		
0x0FD8	0x0E00      	MOVLW       0
0x0FDA	0x0A00      	XORLW       0
0x0FDC	0xE102      	BNZ         L___Lib_Mmc_Mmc_UnIdle62
0x0FDE	0x0E02      	MOVLW       2
0x0FE0	0x19D0      	XORWF       FARG___Lib_Mmc_Mmc_UnIdle_ctype, 0, 1
L___Lib_Mmc_Mmc_UnIdle62:
0x0FE2	0xE150      	BNZ         L___Lib_Mmc_Mmc_UnIdle13
;__Lib_Mmc.c,126 :: 		
0x0FE4	0xF000EC30  	CALL        __Lib_Mmc_Mmc_Select, 0
;__Lib_Mmc.c,127 :: 		
0x0FE8	0x0E3A      	MOVLW       58
0x0FEA	0x6FE4      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x0FEC	0x6BE5      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x0FEE	0x6BE6      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x0FF0	0x6BE7      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x0FF2	0x6BE8      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x0FF4	0x0EFF      	MOVLW       255
0x0FF6	0x6FE9      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x0FF8	0xF000EC32  	CALL        __Lib_Mmc_Mmc_Send_Command, 0
0x0FFC	0xF2D3C000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response_L0
;__Lib_Mmc.c,128 :: 		
0x1000	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x1004	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x1008	0x0EFF      	MOVLW       255
0x100A	0x6EE6      	MOVWF       POSTINC1 
0x100C	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x1010	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x1014	0xF000EC17  	CALL        _____DoIFC, 0
0x1018	0xF2D4C000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response2_L0
;__Lib_Mmc.c,129 :: 		
0x101C	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x1020	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x1024	0x0EFF      	MOVLW       255
0x1026	0x6EE6      	MOVWF       POSTINC1 
0x1028	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x102C	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x1030	0xF000EC17  	CALL        _____DoIFC, 0
;__Lib_Mmc.c,130 :: 		
0x1034	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x1038	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x103C	0x0EFF      	MOVLW       255
0x103E	0x6EE6      	MOVWF       POSTINC1 
0x1040	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x1044	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x1048	0xF000EC17  	CALL        _____DoIFC, 0
;__Lib_Mmc.c,131 :: 		
0x104C	0xFFE1C276  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x1050	0xFFE2C277  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x1054	0x0EFF      	MOVLW       255
0x1056	0x6EE6      	MOVWF       POSTINC1 
0x1058	0xF000C274  	MOVFF       _SPI_Rd_Ptr, R0
0x105C	0xF001C275  	MOVFF       _SPI_Rd_Ptr+1, R1
0x1060	0xF000EC17  	CALL        _____DoIFC, 0
;__Lib_Mmc.c,132 :: 		
0x1064	0xF000EC23  	CALL        __Lib_Mmc_Mmc_DeSelect, 0
;__Lib_Mmc.c,133 :: 		
0x1068	0x0102      	MOVLB       2
0x106A	0x51D3      	MOVF        __Lib_Mmc_Mmc_UnIdle_response_L0, 0, 1
0x106C	0x0A00      	XORLW       0
0x106E	0xE109      	BNZ         L___Lib_Mmc_Mmc_UnIdle14
;__Lib_Mmc.c,134 :: 		
0x1070	0xADD4      	BTFSS       __Lib_Mmc_Mmc_UnIdle_response2_L0, 6, 1
0x1072	0xD003      	BRA         L___Lib_Mmc_Mmc_UnIdle15
;__Lib_Mmc.c,136 :: 		
0x1074	0x0E04      	MOVLW       4
0x1076	0x6E46      	MOVWF       __Lib_Mmc_cardType 
0x1078	0xD002      	BRA         L___Lib_Mmc_Mmc_UnIdle16
L___Lib_Mmc_Mmc_UnIdle15:
;__Lib_Mmc.c,139 :: 		
0x107A	0x0E03      	MOVLW       3
0x107C	0x6E46      	MOVWF       __Lib_Mmc_cardType 
L___Lib_Mmc_Mmc_UnIdle16:
;__Lib_Mmc.c,140 :: 		
0x107E	0x6A00      	CLRF        R0 
0x1080	0x0012      	RETURN      0
;__Lib_Mmc.c,141 :: 		
L___Lib_Mmc_Mmc_UnIdle14:
;__Lib_Mmc.c,142 :: 		
0x1082	0xD004      	BRA         L___Lib_Mmc_Mmc_UnIdle17
L___Lib_Mmc_Mmc_UnIdle13:
;__Lib_Mmc.c,144 :: 		
0x1084	0x0E01      	MOVLW       1
0x1086	0x6E46      	MOVWF       __Lib_Mmc_cardType 
;__Lib_Mmc.c,145 :: 		
0x1088	0x6A00      	CLRF        R0 
0x108A	0x0012      	RETURN      0
;__Lib_Mmc.c,146 :: 		
L___Lib_Mmc_Mmc_UnIdle17:
;__Lib_Mmc.c,147 :: 		
L___Lib_Mmc_Mmc_UnIdle12:
;__Lib_Mmc.c,148 :: 		
0x108C	0xD001      	BRA         L___Lib_Mmc_Mmc_UnIdle18
L___Lib_Mmc_Mmc_UnIdle11:
;__Lib_Mmc.c,151 :: 		
0x108E	0xD003      	BRA         L___Lib_Mmc_Mmc_UnIdle6
;__Lib_Mmc.c,152 :: 		
L___Lib_Mmc_Mmc_UnIdle18:
;__Lib_Mmc.c,153 :: 		
L___Lib_Mmc_Mmc_UnIdle10:
;__Lib_Mmc.c,100 :: 		
0x1090	0x4BD1      	INFSNZ      __Lib_Mmc_Mmc_UnIdle_cnt_L0, 1, 1
0x1092	0x2BD2      	INCF        __Lib_Mmc_Mmc_UnIdle_cnt_L0+1, 1, 1
;__Lib_Mmc.c,154 :: 		
0x1094	0xD74F      	BRA         L___Lib_Mmc_Mmc_UnIdle5
L___Lib_Mmc_Mmc_UnIdle6:
;__Lib_Mmc.c,155 :: 		
0x1096	0x0E01      	MOVLW       1
0x1098	0x6E00      	MOVWF       R0 
;__Lib_Mmc.c,156 :: 		
0x109A	0x0012      	RETURN      0
; end of __Lib_Mmc_Mmc_UnIdle
_SDIV3232L:
;__Lib_Math.c,550 :: 		
;__Lib_Math.c,560 :: 		
0x109C	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,561 :: 		
0x109E	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,562 :: 		
0x10A0	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,563 :: 		
0x10A2	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,564 :: 		
0x10A4	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,565 :: 		
0x10A6	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,566 :: 		
0x10A8	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,567 :: 		
0x10AA	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,568 :: 		
0x10AC	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,569 :: 		
0x10AE	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,570 :: 		
0x10B0	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,571 :: 		
0x10B2	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,572 :: 		
0x10B4	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,573 :: 		
0x10B6	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,574 :: 		
0x10B8	0x3603      	RLCF        R3, 1, 0
;__Lib_Math.c,576 :: 		
0x10BA	0x0E07      	MOVLW       7
;__Lib_Math.c,577 :: 		
0x10BC	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,579 :: 		
LOOPS3232A:
;__Lib_Math.c,580 :: 		
0x10BE	0x3403      	RLCF        R3, 0, 0
;__Lib_Math.c,581 :: 		
0x10C0	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,582 :: 		
0x10C2	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,583 :: 		
0x10C4	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,584 :: 		
0x10C6	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,585 :: 		
0x10C8	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,586 :: 		
0x10CA	0xA003      	BTFSS       R3, 0, 0
;__Lib_Math.c,587 :: 		
0x10CC	0xD00E      	BRA         SADD22LA
;__Lib_Math.c,589 :: 		
0x10CE	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,590 :: 		
0x10D0	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,591 :: 		
0x10D2	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,592 :: 		
0x10D4	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,593 :: 		
0x10D6	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,594 :: 		
0x10D8	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,595 :: 		
0x10DA	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,596 :: 		
0x10DC	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,597 :: 		
0x10DE	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,598 :: 		
0x10E0	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,599 :: 		
0x10E2	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,600 :: 		
0x10E4	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,601 :: 		
0x10E6	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,602 :: 		
0x10E8	0xD00D      	BRA         SOK22LA
;__Lib_Math.c,604 :: 		
SADD22LA:
;__Lib_Math.c,605 :: 		
0x10EA	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,606 :: 		
0x10EC	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,607 :: 		
0x10EE	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,608 :: 		
0x10F0	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,609 :: 		
0x10F2	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,610 :: 		
0x10F4	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,611 :: 		
0x10F6	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,612 :: 		
0x10F8	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,613 :: 		
0x10FA	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,614 :: 		
0x10FC	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,615 :: 		
0x10FE	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,616 :: 		
0x1100	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,617 :: 		
0x1102	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,619 :: 		
SOK22LA:
;__Lib_Math.c,620 :: 		
0x1104	0x3603      	RLCF        R3, 1, 0
;__Lib_Math.c,622 :: 		
0x1106	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,623 :: 		
0x1108	0xD7DA      	BRA         LOOPS3232A
;__Lib_Math.c,625 :: 		
0x110A	0x3402      	RLCF        R2, 0, 0
;__Lib_Math.c,626 :: 		
0x110C	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,627 :: 		
0x110E	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,628 :: 		
0x1110	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,629 :: 		
0x1112	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,630 :: 		
0x1114	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,631 :: 		
0x1116	0xA003      	BTFSS       R3, 0, 0
;__Lib_Math.c,632 :: 		
0x1118	0xD00E      	BRA         SADD22L8
;__Lib_Math.c,634 :: 		
0x111A	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,635 :: 		
0x111C	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,636 :: 		
0x111E	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,637 :: 		
0x1120	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,638 :: 		
0x1122	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,639 :: 		
0x1124	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,640 :: 		
0x1126	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,641 :: 		
0x1128	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,642 :: 		
0x112A	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,643 :: 		
0x112C	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,644 :: 		
0x112E	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,645 :: 		
0x1130	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,646 :: 		
0x1132	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,647 :: 		
0x1134	0xD00D      	BRA         SOK22L8
;__Lib_Math.c,649 :: 		
SADD22L8:
;__Lib_Math.c,650 :: 		
0x1136	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,651 :: 		
0x1138	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,652 :: 		
0x113A	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,653 :: 		
0x113C	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,654 :: 		
0x113E	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,655 :: 		
0x1140	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,656 :: 		
0x1142	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,657 :: 		
0x1144	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,658 :: 		
0x1146	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,659 :: 		
0x1148	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,660 :: 		
0x114A	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,661 :: 		
0x114C	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,662 :: 		
0x114E	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,664 :: 		
SOK22L8:
;__Lib_Math.c,665 :: 		
0x1150	0x3602      	RLCF        R2, 1, 0
;__Lib_Math.c,667 :: 		
0x1152	0x0E07      	MOVLW       7
;__Lib_Math.c,668 :: 		
0x1154	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,670 :: 		
LOOPS3232B:
